[16:50:35.472] [main                ] ℹ️ Initial Parameters:
[16:50:35.514] [main                ] ℹ️ - Bus Capacity: 20
[16:50:35.518] [main                ] ℹ️ - Number of Topics: 2
[16:50:35.521] [main                ] ℹ️ - Number of Producers: 4
[16:50:35.524] [main                ] ℹ️ - Number of Consumers per Topic: 2
[16:50:35.527] [main                ] ℹ️ - Duration: 5 seconds
==================================================
[16:50:35.535] [Producer-1          ] 🧵 Thread created
[16:50:35.538] [Producer-2          ] 🧵 Thread created
[16:50:35.540] [Producer-3          ] 🧵 Thread created
[16:50:35.543] [Producer-4          ] 🧵 Thread created
[16:50:35.554] [Consumer-Topic1-1   ] 🧵 Thread created
[16:50:35.563] [Consumer-Topic1-2   ] 🧵 Thread created
[16:50:35.567] [Consumer-Topic2-1   ] 🧵 Thread created
[16:50:35.561] [Producer-1          ] 📊 Posted message: Message-00001
[16:50:35.569] [Consumer-Topic2-2   ] 🧵 Thread created
[16:50:35.571] [main                ] ▶️ Started: Waiting for process completion
[16:50:35.572] [Producer-4          ] 📊 Posted message: Message-00002
[16:50:35.576] [Producer-4          ] 📊 Produced: Message-00002 to topic1
[16:50:35.576] [Producer-3          ] 📊 Posted message: Message-00003
[16:50:35.572] [Producer-1          ] 📊 Produced: Message-00001 to topic1
[16:50:35.579] [Producer-3          ] 📊 Produced: Message-00003 to topic1
[16:50:35.579] [Producer-2          ] 📊 Posted message: Message-00004
[16:50:35.582] [Producer-2          ] 📊 Produced: Message-00004 to topic1
[16:50:35.586] [Consumer-Topic1-2   ] 📊 Consumed message: Message-00001
[16:50:35.589] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00002
[16:50:35.593] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00002
[16:50:35.606] [Consumer-Topic1-2   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00001
[16:50:35.614] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00003
[16:50:35.620] [Consumer-Topic1-2   ] 📊 Consumed message: Message-00004
[16:50:35.618] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00003
[16:50:35.628] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:35.627] [Consumer-Topic1-2   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00004
[16:50:35.636] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:35.639] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:35.643] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.092] [Producer-2          ] 📊 Posted message: Message-00005
[16:50:36.097] [Producer-2          ] 📊 Produced: Message-00005 to topic1
[16:50:36.101] [Producer-1          ] 📊 Posted message: Message-00007
[16:50:36.103] [Producer-3          ] 📊 Posted message: Message-00006
[16:50:36.103] [Producer-1          ] 📊 Produced: Message-00007 to topic2
[16:50:36.104] [Producer-3          ] 📊 Produced: Message-00006 to topic2
[16:50:36.104] [Producer-4          ] 📊 Posted message: Message-00008
[16:50:36.106] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00007
[16:50:36.106] [Producer-4          ] 📊 Produced: Message-00008 to topic1
[16:50:36.107] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00007
[16:50:36.109] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00006
[16:50:36.111] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00006
[16:50:36.111] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00005
[16:50:36.114] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00005
[16:50:36.121] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00008
[16:50:36.123] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00008
[16:50:36.123] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.125] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.128] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.130] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.612] [Producer-3          ] 📊 Posted message: Message-00010
[16:50:36.613] [Producer-4          ] 📊 Posted message: Message-00011
[16:50:36.613] [Producer-3          ] 📊 Produced: Message-00010 to topic2
[16:50:36.615] [Producer-4          ] 📊 Produced: Message-00011 to topic1
[16:50:36.624] [Producer-1          ] 📊 Posted message: Message-00009
[16:50:36.628] [Producer-1          ] 📊 Produced: Message-00009 to topic2
[16:50:36.630] [Consumer-Topic1-2   ] 📊 Consumed message: Message-00011
[16:50:36.632] [Consumer-Topic1-2   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00011
[16:50:36.632] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00010
[16:50:36.634] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00010
[16:50:36.634] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00009
[16:50:36.636] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00009
[16:50:36.637] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.638] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.639] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.641] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.647] [Producer-2          ] 📊 Posted message: Message-00012
[16:50:36.651] [Producer-2          ] 📊 Produced: Message-00012 to topic2
[16:50:36.651] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00012
[16:50:36.653] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00012
[16:50:36.653] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.656] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.659] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:36.660] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.121] [Producer-3          ] 📊 Posted message: Message-00014
[16:50:37.125] [Producer-4          ] 📊 Posted message: Message-00013
[16:50:37.125] [Producer-3          ] 📊 Produced: Message-00014 to topic2
[16:50:37.126] [Producer-4          ] 📊 Produced: Message-00013 to topic2
[16:50:37.145] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00014
[16:50:37.146] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00014
[16:50:37.146] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00013
[16:50:37.148] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00013
[16:50:37.148] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.150] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.151] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.153] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.173] [Producer-1          ] 📊 Posted message: Message-00015
[16:50:37.176] [Producer-1          ] 📊 Produced: Message-00015 to topic2
[16:50:37.185] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00015
[16:50:37.186] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00015
[16:50:37.186] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.188] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.193] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:37.195] [Producer-2          ] 📊 Posted message: Message-00016
[16:50:37.198] [Producer-2          ] 📊 Produced: Message-00016 to topic2
[16:50:37.199] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00016
[16:50:37.211] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
